backbone,dataset,pred_len,plugin,seed,cell_id,mse,mae,val_mse,best_epoch,epochs_run,ms_per_iter,train_seconds,n_params,extra_params,peak_mem_mib,batch_size,seq_len,use_amp,device,plugin_kind,n_train_windows,probe,source,timestamp,status,seg1_mse,seg2_mse,seg3_mse,seg4_mse,tag,n_test_windows,n_val_windows
iTransformer,ETTh1,192,none,2022,iTransformer__ETTh1__h192__none__s2022,0.45117551702967434,0.4407963039631457,0.9994070507096106,0,4,13.529539108276367,25.9,4883136,0,130.8583984375,32,96,False,cuda:0,io,8353,False,measured,2026-09-09 03:43:30,ok,0.35391076100035024,0.4400113020945248,0.47955659959219127,0.5312233985710416,,,
iTransformer,ETTh1,192,none,2023,iTransformer__ETTh1__h192__none__s2023,0.44635494114769175,0.44190694590457097,0.9895954371896177,1,5,13.494253158569336,31.8,4883136,0,130.8583984375,32,96,False,cuda:0,io,8353,False,measured,2026-09-09 03:44:10,ok,0.3478754065233469,0.4352251215572513,0.47596435983511226,0.5263548749262271,,,
iTransformer,ETTh1,192,san_lite,2021,iTransformer__ETTh1__h192__san_lite__s2021,0.47544676139226394,0.45329206136640565,1.0117430085806032,2,6,19.107341766357422,55.0,4883136,0,130.8583984375,32,96,False,cuda:0,io,8353,False,measured,2026-09-09 15:17:59,ok,0.36551763925666875,0.4559393648236989,0.5089252423403355,0.5714047964420762,,,
iTransformer,ETTh1,192,san_lite,2022,iTransformer__ETTh1__h192__san_lite__s2022,0.46001312195601357,0.44234008946462927,1.010546793651677,1,5,19.782304763793945,46.6,4883136,0,130.8583984375,32,96,False,cuda:0,io,8353,False,measured,2026-09-09 15:18:04,ok,0.35975508802103184,0.4457832897881963,0.4892138822184662,0.5453002400833727,,,
iTransformer,ETTh1,192,san_lite,2023,iTransformer__ETTh1__h192__san_lite__s2023,0.47253971984470927,0.45063988115234027,1.0100779832227489,3,7,19.21820640563965,63.1,4883136,0,130.8583984375,32,96,False,cuda:0,io,8353,False,measured,2026-09-09 15:18:30,ok,0.35940927308170934,0.4556808256952844,0.5081570164590558,0.5669117557263654,,,
iTransformer,ETTh1,336,fredf,2021,iTransformer__ETTh1__h336__fredf__s2021,0.4687778844922977,0.4443580857986306,1.273100247704374,9,10,14.26839828491211,63.6,4957008,0,131.82177734375,32,96,False,cuda:0,loss,8209,False,measured,2026-09-09 04:16:18,ok,0.3677260315303691,0.46577730768068454,0.5204867862290341,0.5211214319638036,,,
iTransformer,ETTh1,336,fredf,2022,iTransformer__ETTh1__h336__fredf__s2022,0.4714956056057922,0.4476889857850987,1.2707402288411067,9,10,14.373183250427246,64.0,4957008,0,131.82177734375,32,96,False,cuda:0,loss,8209,False,measured,2026-09-09 04:17:30,ok,0.3710668280221437,0.4669416360773658,0.5230551756041861,0.5249187867621024,,,
iTransformer,ETTh1,336,fredf,2023,iTransformer__ETTh1__h336__fredf__s2023,0.46822632891488497,0.4443615138106139,1.268175823328472,5,9,14.16921615600586,57.3,4957008,0,131.82177734375,32,96,False,cuda:0,loss,8209,False,measured,2026-09-09 04:18:35,ok,0.36855875540472394,0.46443362965780144,0.5200550172223891,0.5198579152221198,,,
iTransformer,ETTh1,336,none,2021,iTransformer__ETTh1__h336__none__s2021,0.4956768471639945,0.46600803841075356,1.2850735731117102,0,4,13.678550720214844,25.8,4957008,0,132.1083984375,32,96,False,cuda:0,io,8209,False,measured,2026-09-09 04:12:43,ok,0.3838390380689397,0.48159578777571366,0.5596798365215823,0.5575927220505102,,,
iTransformer,ETTh1,336,none,2022,iTransformer__ETTh1__h336__none__s2022,0.5005464409678717,0.46852075585882685,1.2842497538983668,0,4,13.644218444824219,25.5,4957008,0,132.1083984375,32,96,False,cuda:0,io,8209,False,measured,2026-09-09 04:13:17,ok,0.3883255886680728,0.49039456380480584,0.5606706572192687,0.5627949421368479,,,
