block,method,n_seeds_method,n_seeds_control,gain_abs,rel_gain_pct,seed_sd_method,seed_sd_control,noise_scale,gain_over_noise,within_noise
ETTh1|192|PatchTST,san_lite,3,3,-0.010623900883186765,-2.4480642094854956,0.000177324847336672,0.003013913483318178,0.0030191254671527133,3.5188669695155097,False
ETTh1|192|TimesNet,san_lite,3,3,-0.030069021308415878,-6.06225990673346,0.007063349581824158,0.022101192752559486,0.02320244875871604,1.2959417180964745,False
ETTh1|192|iTransformer,san_lite,3,3,-0.021369913663885964,-4.770460942881462,0.008201257743708864,0.002781873356660912,0.008660222165235973,2.467594162846015,False
ETTh1|336|DLinear,san_lite,3,3,-0.014926273422812553,-3.061178434132618,8.449190661830557e-06,0.0008545926266883192,0.000854634393417958,17.465097985487784,False
ETTh1|336|PatchTST,san_lite,3,3,-0.005397753672625738,-1.1346076358415467,0.00012010965401773488,0.004336063092063444,0.004337726301571257,1.2443739639982603,False
ETTh1|336|TimesNet,san_lite,3,3,-0.02195143864172222,-4.151212317588957,0.024617946705613188,0.0008466359601749775,0.02463250073479087,0.8911575352444048,True
ETTh1|336|iTransformer,san_lite,3,3,-0.01350813016374891,-2.7295986454315933,0.0007891540029376369,0.006110261536744139,0.006161011287748736,2.192518327406741,False
ETTh1|720|DLinear,san_lite,3,3,0.02237745761618004,4.355729402770712,0.0003745697276054409,0.002329738997364803,0.0023596580846980296,9.483347507545243,False
ETTh1|720|PatchTST,san_lite,3,3,0.01295596659509668,2.6965334868648454,0.0054253088947539335,0.007723268102742622,0.009438370981813427,1.3726909675473897,False
ETTh1|720|TimesNet,san_lite,3,3,0.005098922463229516,0.8301981071150301,0.08012517803159738,0.06936206343605741,0.10597707298610785,0.04811344868807534,True
ETTh1|720|iTransformer,san_lite,3,3,0.0030504003698470505,0.6051009608091394,0.0131121718922633,0.015274049766335559,0.02013021728637709,0.15153340505228308,True
ETTh2|96|DLinear,san_lite,3,3,0.0440561471261669,12.764314268007265,0.00013243058135019862,0.005157270721027527,0.005158970745104545,8.539716409125347,False
ETTh2|96|PatchTST,san_lite,3,3,-0.0035448323772950263,-1.2062744536500702,0.0031374293958570795,0.005123050515323794,0.006007421226828322,0.5900755488002555,True
ETTh2|96|TimesNet,san_lite,3,3,0.007012725260281405,2.108415583676222,0.008541870916350813,0.0059697962574557705,0.010421229587104048,0.6729268558634806,True
ETTh2|96|iTransformer,san_lite,3,3,-0.0011196891103281703,-0.37019706147928627,0.0015245716069739806,0.0041418387278542535,0.004413518622634844,0.253695340625916,True
ETTh2|192|DLinear,san_lite,3,3,0.09431622716794741,19.72777046853295,3.9339414545250344e-05,0.004771760900856537,0.00477192305936296,19.764825625779977,False
ETTh2|192|PatchTST,san_lite,3,3,-0.002278570747250519,-0.6132470674218868,0.00037332271241619384,0.00365336560486706,0.0036723902421218046,0.6204598632017997,True
ETTh2|192|TimesNet,san_lite,3,3,0.0019615428546958524,0.45445776426204976,0.03528494570074882,0.012938849691044373,0.0375824589992756,0.05219304183192646,True
ETTh2|192|iTransformer,san_lite,3,3,-0.0008504770523891647,-0.22034156344830305,0.0042550378467872095,0.0038385378812357636,0.005730595095037991,0.1484099012902824,True
ETTh2|336|DLinear,san_lite,3,3,0.1706725183716558,28.827170063907058,5.301497597564727e-05,0.010804435214843701,0.01080456528044661,15.79633367392649,False
ETTh2|336|PatchTST,san_lite,3,3,0.0020988505311771988,0.5057203590082741,0.0012936265626927496,0.001257388960322904,0.0018040223616258672,1.1634282234093922,False
ETTh2|336|TimesNet,san_lite,3,3,0.0288342827397311,6.072410561407603,0.024902112830374554,0.0019943832074453575,0.024981849166842013,1.154209304009503,False
ETTh2|336|iTransformer,san_lite,3,3,0.0022356052928140246,0.5082924510510605,0.010441276811944677,0.010918314119169718,0.01510727787089767,0.14798200654802582,True
ETTh2|720|DLinear,san_lite,3,3,0.40667259188083327,49.133696267913905,3.1360894020581854e-05,0.014244111571218996,0.014244146094413967,28.550155915651228,False
ETTh2|720|PatchTST,san_lite,3,3,0.006062041684226305,1.4228706634384856,0.0008738687390985945,0.002014030620168335,0.0021954420767010493,2.761194088680011,False
ETTh2|720|TimesNet,san_lite,3,3,0.012719364143423673,2.68645972972039,0.040925582409948764,0.009625432750549466,0.042042267436817174,0.3025375394545227,True
ETTh2|720|iTransformer,san_lite,3,3,-0.05165186801324395,-11.667693651177597,0.004267804940547212,0.01945135627534211,0.01991405081747182,2.593739891831882,False
ETTm1|96|DLinear,san_lite,1,1,-0.07995967459353209,-23.113321936707546,,,,,
ETTm1|96|PatchTST,san_lite,1,1,-0.0492634743244012,-14.901024116428928,,,,,
ETTm1|96|TimesNet,san_lite,1,1,-0.013974879307462218,-4.153232878646687,,,,,
ETTm1|96|iTransformer,san_lite,1,1,-0.02029807361150837,-5.904674900572394,,,,,
ETTm1|192|DLinear,san_lite,1,1,-0.0793254995427844,-20.775912153623164,,,,,
ETTm1|192|PatchTST,san_lite,1,1,-0.051465074070470795,-13.959985811973644,,,,,
ETTm1|192|TimesNet,san_lite,1,1,0.0002149722916559016,0.05556545612804582,,,,,
ETTm1|192|iTransformer,san_lite,1,1,-0.027760722900549428,-7.192737808044093,,,,,
ETTm1|336|DLinear,san_lite,1,1,-0.07688727996035388,-18.51514710663382,,,,,
ETTm1|336|PatchTST,san_lite,1,1,-0.0523339113642286,-13.056213914124214,,,,,
ETTm1|336|TimesNet,san_lite,1,1,0.00757665330657159,1.7552877898851162,,,,,
ETTm1|336|iTransformer,san_lite,1,1,-0.021290747560985923,-5.078256348833119,,,,,
ETTm1|720|DLinear,san_lite,1,1,-0.06821881629935472,-14.42327866199774,,,,,
ETTm1|720|PatchTST,san_lite,1,1,-0.0410719458691407,-8.861091341441876,,,,,
ETTm1|720|TimesNet,san_lite,1,1,0.0562850254825345,10.837965517078171,,,,,
ETTm1|720|iTransformer,san_lite,1,1,0.01922495593648177,3.6881969301317694,,,,,
ETTm2|96|DLinear,san_lite,1,1,0.0035756982052290998,1.8485895222882107,,,,,
ETTm2|96|PatchTST,san_lite,1,1,-0.007897854863920306,-4.480205027652497,,,,,
ETTm2|96|TimesNet,san_lite,1,1,-0.0031723680413737188,-1.6894574353744676,,,,,
ETTm2|96|iTransformer,san_lite,1,1,-0.009321375312041996,-5.168927212463391,,,,,
ETTm2|192|DLinear,san_lite,1,1,0.03292215222555439,11.563617777334084,,,,,
ETTm2|192|PatchTST,san_lite,1,1,-0.006154465280209409,-2.5422338333980092,,,,,
ETTm2|192|TimesNet,san_lite,1,1,-0.005282188849919822,-2.001689611752917,,,,,
ETTm2|192|iTransformer,san_lite,1,1,-0.0017585324034710137,-0.6696630318578061,,,,,
ETTm2|336|DLinear,san_lite,1,1,0.07356019555168197,19.110148229943036,,,,,
ETTm2|336|PatchTST,san_lite,1,1,-0.0063781079372773886,-2.1051151316968517,,,,,
ETTm2|336|TimesNet,san_lite,1,1,-0.003542996791288777,-1.116525276532886,,,,,
ETTm2|336|iTransformer,san_lite,1,1,-0.0027173621965715933,-0.8606811464517052,,,,,
ETTm2|720|DLinear,san_lite,1,1,0.145857265492364,26.228407041335167,,,,,
ETTm2|720|PatchTST,san_lite,1,1,-0.008503310964401545,-2.118340199681865,,,,,
ETTm2|720|TimesNet,san_lite,1,1,0.056367908430316915,11.635151792983493,,,,,
ETTm2|720|iTransformer,san_lite,1,1,-0.005298183636919085,-1.2882805156299468,,,,,
