backbone,dataset,pred_len,plugin,n_seeds,seeds
PatchTST,ILI,24,san_lite,3,2021|2022|2023
PatchTST,ILI,36,fredf,3,2021|2022|2023
PatchTST,ILI,36,none,3,2021|2022|2023
PatchTST,ILI,36,san_lite,3,2021|2022|2023
PatchTST,ILI,48,fredf,3,2021|2022|2023
PatchTST,ILI,48,none,3,2021|2022|2023
PatchTST,ILI,48,san_lite,3,2021|2022|2023
PatchTST,ILI,60,fredf,3,2021|2022|2023
PatchTST,ILI,60,none,3,2021|2022|2023
PatchTST,ILI,60,san_lite,3,2021|2022|2023
PatchTST,Weather,96,fredf,1,2021
PatchTST,Weather,96,none,1,2021
PatchTST,Weather,96,revin,1,2021
PatchTST,Weather,96,san_lite,1,2021
PatchTST,Weather,192,fredf,1,2021
PatchTST,Weather,192,none,1,2021
PatchTST,Weather,192,san_lite,1,2021
PatchTST,Weather,336,fredf,1,2021
PatchTST,Weather,336,none,1,2021
PatchTST,Weather,336,san_lite,1,2021
PatchTST,Weather,720,fredf,1,2021
PatchTST,Weather,720,none,1,2021
PatchTST,Weather,720,revin,1,2021
PatchTST,Weather,720,san_lite,1,2021
TimesNet,ETTh1,96,fredf,3,2021|2022|2023
TimesNet,ETTh1,96,none,3,2021|2022|2023
TimesNet,ETTh1,96,revin,1,2021
TimesNet,ETTh1,96,san_lite,3,2021|2022|2023
TimesNet,ETTh1,192,fredf,3,2021|2022|2023
TimesNet,ETTh1,192,none,3,2021|2022|2023
TimesNet,ETTh1,192,san_lite,3,2021|2022|2023
TimesNet,ETTh1,336,fredf,3,2021|2022|2023
TimesNet,ETTh1,336,none,3,2021|2022|2023
TimesNet,ETTh1,336,san_lite,3,2021|2022|2023
TimesNet,ETTh1,720,fredf,3,2021|2022|2023
TimesNet,ETTh1,720,none,3,2021|2022|2023
TimesNet,ETTh1,720,revin,1,2021
TimesNet,ETTh1,720,san_lite,3,2021|2022|2023
TimesNet,ETTh2,96,fredf,3,2021|2022|2023
TimesNet,ETTh2,96,none,3,2021|2022|2023
TimesNet,ETTh2,96,san_lite,3,2021|2022|2023
TimesNet,ETTh2,192,fredf,3,2021|2022|2023
TimesNet,ETTh2,192,none,3,2021|2022|2023
TimesNet,ETTh2,192,san_lite,3,2021|2022|2023
TimesNet,ETTh2,336,fredf,3,2021|2022|2023
TimesNet,ETTh2,336,none,3,2021|2022|2023
TimesNet,ETTh2,336,san_lite,3,2021|2022|2023
TimesNet,ETTh2,720,fredf,3,2021|2022|2023
TimesNet,ETTh2,720,none,3,2021|2022|2023
TimesNet,ETTh2,720,san_lite,3,2021|2022|2023
TimesNet,ETTm1,96,fredf,1,2021
TimesNet,ETTm1,96,none,1,2021
TimesNet,ETTm1,96,san_lite,1,2021
TimesNet,ETTm1,192,fredf,1,2021
TimesNet,ETTm1,192,none,1,2021
TimesNet,ETTm1,192,san_lite,1,2021
TimesNet,ETTm1,336,fredf,1,2021
TimesNet,ETTm1,336,none,1,2021
TimesNet,ETTm1,336,san_lite,1,2021
TimesNet,ETTm1,720,fredf,1,2021
TimesNet,ETTm1,720,none,1,2021
TimesNet,ETTm1,720,san_lite,1,2021
TimesNet,ETTm2,96,fredf,1,2021
TimesNet,ETTm2,96,none,1,2021
TimesNet,ETTm2,96,san_lite,1,2021
TimesNet,ETTm2,192,fredf,1,2021
TimesNet,ETTm2,192,none,1,2021
TimesNet,ETTm2,192,san_lite,1,2021
TimesNet,ETTm2,336,fredf,1,2021
TimesNet,ETTm2,336,none,1,2021
TimesNet,ETTm2,336,san_lite,1,2021
TimesNet,ETTm2,720,fredf,1,2021
TimesNet,ETTm2,720,none,1,2021
TimesNet,ETTm2,720,san_lite,1,2021
TimesNet,Electricity,96,fredf,1,2021
TimesNet,Electricity,96,none,1,2021
TimesNet,Electricity,96,san_lite,1,2021
TimesNet,Electricity,192,fredf,1,2021
TimesNet,Electricity,192,none,1,2021
TimesNet,Electricity,192,san_lite,1,2021
TimesNet,Electricity,336,fredf,1,2021
TimesNet,Electricity,336,none,1,2021
TimesNet,Electricity,336,san_lite,1,2021
TimesNet,Electricity,720,fredf,1,2021
TimesNet,Electricity,720,none,1,2021
TimesNet,Electricity,720,san_lite,1,2021
TimesNet,Exchange,96,fredf,3,2021|2022|2023
TimesNet,Exchange,96,none,3,2021|2022|2023
TimesNet,Exchange,96,san_lite,3,2021|2022|2023
TimesNet,Exchange,192,fredf,3,2021|2022|2023
TimesNet,Exchange,192,none,3,2021|2022|2023
TimesNet,Exchange,192,san_lite,3,2021|2022|2023
TimesNet,Exchange,336,fredf,3,2021|2022|2023
TimesNet,Exchange,336,none,3,2021|2022|2023
TimesNet,Exchange,336,san_lite,3,2021|2022|2023
TimesNet,Exchange,720,fredf,3,2021|2022|2023
TimesNet,Exchange,720,none,3,2021|2022|2023
TimesNet,Exchange,720,san_lite,3,2021|2022|2023
TimesNet,ILI,24,fredf,3,2021|2022|2023
TimesNet,ILI,24,none,3,2021|2022|2023
TimesNet,ILI,24,san_lite,3,2021|2022|2023
TimesNet,ILI,36,fredf,3,2021|2022|2023
TimesNet,ILI,36,none,3,2021|2022|2023
TimesNet,ILI,36,san_lite,3,2021|2022|2023
TimesNet,ILI,48,fredf,3,2021|2022|2023
TimesNet,ILI,48,none,3,2021|2022|2023
TimesNet,ILI,48,san_lite,3,2021|2022|2023
TimesNet,ILI,60,fredf,3,2021|2022|2023
TimesNet,ILI,60,none,3,2021|2022|2023
TimesNet,ILI,60,san_lite,3,2021|2022|2023
TimesNet,Weather,96,fredf,1,2021
TimesNet,Weather,96,none,1,2021
TimesNet,Weather,96,revin,1,2021
TimesNet,Weather,96,san_lite,1,2021
TimesNet,Weather,192,fredf,1,2021
TimesNet,Weather,192,none,1,2021
TimesNet,Weather,192,san_lite,1,2021
TimesNet,Weather,336,fredf,1,2021
TimesNet,Weather,336,none,1,2021
TimesNet,Weather,336,san_lite,1,2021
TimesNet,Weather,720,fredf,1,2021
TimesNet,Weather,720,none,1,2021
TimesNet,Weather,720,revin,1,2021
TimesNet,Weather,720,san_lite,1,2021
iTransformer,ETTh1,96,fredf,3,2021|2022|2023
iTransformer,ETTh1,96,none,3,2021|2022|2023
