key,backbone,dataset,pred_len,n_test_windows,persist_half_life_windows,half_life_over_H,within_one_order_of_magnitude_of_H
iTransformer__Weather__h336__s2021,iTransformer,Weather,336,10204,5.652471842039095,0.0168228328632115,False
iTransformer__ETTm1__h336__s2021,iTransformer,ETTm1,336,11185,5.624498118759258,0.0167395777344025,False
PatchTST__Weather__h720__s2021,PatchTST,Weather,720,9820,10.89897537324657,0.0151374657961757,False
iTransformer__Exchange__h336__s2021,iTransformer,Exchange,336,1182,4.894132629836021,0.014565870922131,False
PatchTST__Electricity__h720__s2021,PatchTST,Electricity,720,4541,10.388740478470346,0.0144288062200977,False
iTransformer__ETTh1__h336__s2021,iTransformer,ETTh1,336,2545,4.641381258205354,0.0138136346970397,False
iTransformer__ETTh2__h336__s2021,iTransformer,ETTh2,336,2545,4.471565533279227,0.0133082307538072,False
PatchTST__ETTh2__h720__s2021,PatchTST,ETTh2,720,2161,9.572040863124828,0.0132945011987844,False
TimesNet__Electricity__h336__s2021,TimesNet,Electricity,336,4925,3.333140656492712,0.0099200614776568,False
iTransformer__ETTm2__h720__s2021,iTransformer,ETTm2,720,10801,6.774916097816618,0.0094096056914119,False
DLinear__ETTh2__h720__s2021,DLinear,ETTh2,720,2161,6.6529997891512345,0.0092402774849322,False
iTransformer__Exchange__h720__s2021,iTransformer,Exchange,720,798,6.523638904125552,0.0090606095890632,False
iTransformer__Weather__h720__s2021,iTransformer,Weather,720,9820,6.136191245643888,0.008522487841172,False
iTransformer__ETTm1__h720__s2021,iTransformer,ETTm1,720,10801,5.852214887460266,0.0081280762325837,False
iTransformer__ETTh2__h720__s2021,iTransformer,ETTh2,720,2161,5.015411357635635,0.0069658491078272,False
iTransformer__ETTh1__h720__s2021,iTransformer,ETTh1,720,2161,4.394508388937099,0.0061034838735237,False
PatchTST__ETTh1__h720__s2021,PatchTST,ETTh1,720,2161,3.854794942913639,0.0053538818651578,False
