key,backbone,dataset,pred_len,seed,n_train_datasets,arms,mse_none,mse_gate,mse_best_fixed,mse_oracle,best_fixed_val,gain_gate_vs_none,gain_gate_vs_best_fixed,gain_oracle_vs_none,switch_rate,wilcoxon_p_gate_vs_best_fixed
PatchTST__ETTh1__h192__s2021,PatchTST,ETTh1,192,2021,6,fredf|none|san_lite,0.4312298646333183,0.4311579397040346,0.4312298646333183,0.4138778410145411,none,0.01667902322690444,0.01667902322690444,4.023845526907478,0.014503532911863145,0.14284596404358202
PatchTST__ETTh2__h192__s2021,PatchTST,ETTh2,192,2021,6,fredf|none|san_lite,0.37013216606106136,0.37212812314665467,0.37013216606106136,0.3451990620681636,none,-0.539255235995521,-0.539255235995521,6.736270521464799,0.2755671253253998,0.0076876048862637315
PatchTST__ETTm1__h192__s2021,PatchTST,ETTm1,192,2021,6,fredf|none|san_lite,0.3695341113421095,0.3876117444069827,0.3695341113421095,0.3523643203040241,none,-4.892006586122238,-4.892006586122238,4.646334536121727,0.2648954011828052,6.040144323273535e-211
PatchTST__ETTm2__h192__s2021,PatchTST,ETTm2,192,2021,6,fredf|none|san_lite,0.24212209239877647,0.244309658133186,0.24212209239877647,0.22731289142684058,none,-0.9034969559066784,-0.9034969559066784,6.116418714688738,0.3254479653985347,2.0458586404314327e-12
PatchTST__Electricity__h192__s2021,PatchTST,Electricity,192,2021,6,fredf|none|san_lite,0.1961862632442941,0.20043089073228515,0.1961862632442941,0.19597684243658303,none,-2.163570179571608,-2.163570179571608,0.10674590781579797,0.24699151706450975,1.7101281008116887e-180
PatchTST__Exchange__h192__s2021,PatchTST,Exchange,192,2021,6,fredf|none|san_lite,0.1803136115983623,0.18517688541430108,0.18237520089207238,0.16526431112295947,san_lite,-2.6971196310705974,-1.5362201157334692,8.34618104640972,0.7209653092006033,0.0004556314659511432
PatchTST__Weather__h192__s2021,PatchTST,Weather,192,2021,6,fredf|none|san_lite,0.22971720046248212,0.23208026551423003,0.22971720046248212,0.22079310600675,none,-1.0286844202263221,-1.0286844202263221,3.8848176965968055,0.5276381909547738,1.1393506448834302e-117
PatchTST__ETTh1__h336__s2021,PatchTST,ETTh1,336,2021,6,fredf|none|san_lite,0.4701711084847366,0.471002816697235,0.4701711084847366,0.45190810511411994,none,-0.17689479372244873,-0.17689479372244873,3.884331266001362,0.05147347740667976,6.033213537253131e-14
PatchTST__ETTh2__h336__s2021,PatchTST,ETTh2,336,2021,6,fredf|none|san_lite,0.4164699554428722,0.41520413723435756,0.4164699554428722,0.38749735272381536,none,0.30393986216016944,0.30393986216016944,6.9567089631178645,0.5854616895874263,0.001046414306380224
PatchTST__ETTm1__h336__s2021,PatchTST,ETTm1,336,2021,6,fredf|none|san_lite,0.40036630155281344,0.4191701153665448,0.40036630155281344,0.38702193735817686,none,-4.696652475683929,-4.696652475683929,3.333038805425776,0.3527045149754135,0.0
