key,backbone,dataset,pred_len,n_test_windows,eval_start,n_eval_windows,feedback_window,delay_ratio,delay_windows,delay_feasible,insufficient,gain_vs_none,gain_vs_best_fixed,gain_vs_best_fixed_test,gain_oracle_vs_none
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,3000,2.0,384,True,False,0.9648067609431427,0.9648067609431427,0.06783925209425791,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000000000,0.0,0,False,False,0.8997296319976353,0.8997296319976353,0.002172715804510936,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000000000,0.125,24,False,False,0.8312846144629581,0.8312846144629581,-0.06689221223736347,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000000000,0.25,48,False,False,0.7485027300452466,0.7485027300452466,-0.1504238570000135,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000000000,0.5,96,False,False,0.6686156039379326,0.6686156039379326,-0.23103452545777875,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000000000,1.0,192,True,False,0.5355054104610096,0.5355054104610096,-0.36535030570381305,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000000000,2.0,384,True,False,0.9648067609431427,0.9648067609431427,0.06783925209425791,4.698914690452149
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,50,0.0,0,False,False,4.239320961531291,4.451295841486482,3.6749729736593886,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,50,0.125,42,False,False,2.6734656375745045,2.888906679190784,2.09988956871731,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,50,0.25,84,False,False,0.8767901508498293,1.0962082953275445,0.29262570473828686,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,50,0.5,168,False,False,-1.7046316283542073,-1.4794992744822513,-2.304009209977845,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,50,1.0,336,True,False,-2.2069104770937735,-1.9806662837932056,-2.809248146934026,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,50,2.0,672,True,False,-1.3056027215919916,-1.081353654111265,-1.9026286995835842,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,200,0.0,0,False,False,2.2496343698590406,2.4660136001243287,1.673560529207263,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,200,0.125,42,False,False,0.6095598965888133,0.8295695792807116,0.023820578015995745,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,200,0.25,84,False,False,-0.5877147660137576,-0.3650548081209428,-1.1805100030862585,5.221202952195903
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,200,0.5,168,False,False,-2.2574127285752748,-2.031056743996672,-2.8600480241664386,5.221202952195903
