key,backbone,dataset,pred_len,n_test_windows,feedback_window,delay_windows,eval_start,n_eval_windows,insufficient,best_fixed_val,best_fixed_test,arm_id_mismatch,mse_none,mse_best_fixed,mse_online,mse_online_nodelay,mse_oracle,mse_best_fixed_test,gain_online_vs_none,gain_online_vs_best_fixed,gain_nodelay_vs_best_fixed,gain_oracle_vs_none,oracle_realized_pct,delay_cost_pp,gain_bestfixed_test_vs_val,gain_online_vs_best_fixed_test,switch_rate,n_distinct_choices,wilcoxon_p_online_vs_best_fixed
PatchTST__ETTh1__h720__s2021,PatchTST,ETTh1,720,2161,200,720,720,1441,False,none,fredf_sqrth_a05,True,0.5222119798807532,0.5222119798807532,0.520377456686879,0.5128679538377038,0.49822570541763705,0.516069316330426,0.351298565438814,0.351298565438814,1.789316676565944,4.5932064730777435,7.6482206380932745,1.4380181111271302,1.1762777927304793,-0.8347987799542522,0.9951422623178349,4,0.22039625503186788
PatchTST__ETTh2__h96__s2021,PatchTST,ETTh2,96,2785,200,96,96,2689,False,fredf_sqrth_a05,fredf_sqrth_a05,False,0.29457263622880425,0.29148030663709207,0.2975840571382512,0.2893712898933143,0.2674316505989141,0.29148030663709207,-1.022301646205066,-2.094052449566576,0.7235537687272915,9.213681887518131,-11.09547365155207,2.8176062182938675,0.0,-2.094052449566576,0.8735589438452956,10,6.312317192788085e-22
PatchTST__ETTh2__h192__s2021,PatchTST,ETTh2,192,2689,200,192,192,2497,False,fredf_sqrth_a05,fredf_sqrth_a01,True,0.3923403812534316,0.3985006565412355,0.3958019164260693,0.3889580606193866,0.3610268358512669,0.3888713451871454,-0.8822785871722192,0.6772235053721068,2.394624893381458,7.981219088905864,-11.054433881791786,1.717401388009351,2.4163853173149157,-1.7822272905119185,0.869042851421706,10,0.0002514714387066331
PatchTST__ETTh2__h336__s2021,PatchTST,ETTh2,336,2545,200,336,336,2209,False,none,fredf_a01,True,0.46693896776130156,0.46693896776130156,0.466787938097717,0.45929421513813984,0.42852206220922023,0.4609689398176695,0.03234462617423442,0.03234462617423442,1.6372059628686495,8.22739334354243,0.39313333911255555,1.604861336694415,1.2785456678079465,-1.2623406432408468,0.9438660027161612,10,0.49842601265575537
PatchTST__ETTh2__h720__s2021,PatchTST,ETTh2,720,2161,200,720,720,1441,False,san_lite,fredf_a01,True,0.5244383022116754,0.5231124813320073,0.5207546632956664,0.5155093530703551,0.48191294514578636,0.522834283849748,0.7023970027488866,0.4507286903827232,1.4534404230382247,8.10874356172478,8.662217486416173,1.0027117326555015,0.053181197579230836,0.39775902581690126,0.8320610687022901,10,0.15969058179837314
PatchTST__ETTm1__h96__s2021,PatchTST,ETTm1,96,11425,200,96,96,11329,False,fredf_sqrth_a01,fredf_sqrth_a01,False,0.32795065208501384,0.32660104270890633,0.33857203719935086,0.3291691880038861,0.29810354752655654,0.32660104270890633,-3.2387144366925305,-3.665326476338721,-0.7863248915775396,9.10109626817546,-35.58598152520477,2.8790015847611814,0.0,-3.665326476338721,0.7648512666607821,10,8.211093831330252e-213
PatchTST__ETTm1__h192__s2021,PatchTST,ETTm1,192,11329,200,192,192,11137,False,none,fredf_sqrth_a01,True,0.37081162700050074,0.37081162700050074,0.37496840490716155,0.3691507659804337,0.34921336158958877,0.37035502595035064,-1.1209944899176474,-1.1209944899176474,0.4478988519042029,5.824592283031234,-19.24588770155698,1.5688933418218503,0.12313558068346635,-1.2456639261098936,0.5836401185238395,7,6.063335809657911e-100
PatchTST__ETTm1__h336__s2021,PatchTST,ETTm1,336,11185,200,336,336,10849,False,none,none,False,0.4050482395816282,0.4050482395816282,0.4146086900701104,0.4027260608173799,0.3873244792961923,0.4050482395816282,-2.360323920512165,-2.360323920512165,0.5733091857506084,4.37571591563981,-53.941434176351684,2.933633106262773,0.0,-2.360323920512165,0.3262051802009402,8,1.8608828409639915e-238
PatchTST__ETTm1__h720__s2021,PatchTST,ETTm1,720,10801,200,720,720,10081,False,none,none,False,0.46967512514457355,0.46967512514457355,0.4842305316886972,0.46295619781185693,0.45105597927579566,0.46967512514457355,-3.099037135426802,-3.099037135426802,1.4305478346621228,3.964260586082129,-78.17440523815642,4.529584970088925,0.0,-3.099037135426802,0.5113580001983931,6,1.0828537680935535e-272
PatchTST__ETTm2__h96__s2021,PatchTST,ETTm2,96,11425,200,96,96,11329,False,fredf_sqrth_a01,fredf_sqrth_a01,False,0.17735662813797318,0.17704919848440814,0.17921994748640493,0.1746480212289495,0.16256841442415632,0.17704919848440814,-1.0506059841032258,-1.2260710698307384,1.3562203477902377,8.338122949782912,-12.600029891134376,2.582291417620976,0.0,-1.2260710698307384,0.7837408420866802,10,6.431121157335472e-26
