key,backbone,dataset,pred_len,n_test_windows,eval_start,n_eval_windows,feedback_window,delay_ratio,delay_windows,delay_feasible,insufficient,gain_vs_none,gain_vs_best_fixed,gain_vs_best_fixed_test,gain_oracle_vs_none
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,200,0.125,42,False,False,0.6144212863786097,0.6144212863786097,0.18339845466547752,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,200,0.25,84,False,False,-0.5314962010382805,-0.5314962010382805,-0.967488733654994,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,200,0.5,168,False,False,-2.127163012143371,-2.127163012143371,-2.5700757522619693,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,200,1.0,336,True,False,0.32482872765799436,0.32482872765799436,-0.10745003078332524,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,200,2.0,672,True,False,-1.930202774142424,-1.930202774142424,-2.3722613223287836,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000,0.0,0,False,False,0.6700248301273504,0.6700248301273504,0.23924314403302996,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000,0.125,42,False,False,0.25172477203254795,0.25172477203254795,-0.18087102912634642,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000,0.25,84,False,False,-0.017816594209837486,-0.017816594209837486,-0.4515813625815343,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000,0.5,168,False,False,0.16121596737939667,0.16121596737939667,-0.2717723591517047,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000,1.0,336,True,False,0.3772324462692925,0.3772324462692925,-0.054819043794859176,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,1000,2.0,672,True,False,-1.1276427375886413,-1.1276427375886413,-1.5662206832162333,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,3000,0.0,0,False,False,0.2962308881071174,0.2962308881071174,-0.1361718955896129,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,3000,0.125,42,False,False,-0.41891471976599665,-0.41891471976599665,-0.8544190005710839,4.797535118554772
