cell,backbone,dataset,pred_len,seed_a,seed_b,n_arms,n_test_windows,arms,argmin_agree,chance_agree,excess_agree,z_agree,self_oracle_gain_pct,xseed_oracle_gain_pct,reproducible_frac,noise_frac,adv_corr_across_seeds,same_arm_err_corr,seed_mse_gap_pct,best_fixed_arm_a,best_fixed_arm_b
PatchTST__ETTh1__h96,PatchTST,ETTh1,96,2021,2022,3,2785,"fredf,none,san_lite",0.7910233393177738,0.35034620578954323,0.44067713352823057,48.74649752055457,4.354584307131995,3.833687001701689,0.8803795566485706,0.1196204433514294,0.8695559139924878,0.9972867594904858,0.4330406113371122,none,none
PatchTST__ETTh1__h192,PatchTST,ETTh1,192,2021,2022,3,2689,"fredf,none,san_lite",0.8638899219040536,0.3534630917165799,0.5104268301874737,55.36817371075624,4.35980311308759,4.11157477258423,0.9430643233043692,0.05693567669563082,0.9208778646876737,0.9970674269157964,0.4885802641287806,none,none
PatchTST__ETTh1__h336,PatchTST,ETTh1,336,2021,2022,3,2545,"fredf,none,san_lite",0.850294695481336,0.389348813691471,0.46094588178986495,47.69005267310179,4.57892840983203,4.303026893339965,0.9397453963465251,0.0602546036534749,0.9093815071302455,0.9965100410080366,0.8416336767058675,none,none
PatchTST__ETTh1__h720,PatchTST,ETTh1,720,2021,2022,3,2161,"fredf,none,san_lite",0.7454881999074503,0.4479236372521077,0.2975645626553426,27.816790879795732,2.5433612036662696,1.716614086554686,0.6749391647872025,0.3250608352127975,0.674024150121315,0.9843155396128473,0.8809459323121416,san_lite,san_lite
PatchTST__ETTh2__h96,PatchTST,ETTh2,96,2021,2022,3,2785,"fredf,none,san_lite",0.5500897666068223,0.3461236619618435,0.20396610464497877,22.625966811091438,6.428646352815423,2.2271113379094625,0.3464355037875275,0.6535644962124725,0.41593267088283153,0.9920557962734621,2.6378336743204205,none,fredf
PatchTST__ETTh2__h192,PatchTST,ETTh2,192,2021,2022,3,2689,"fredf,none,san_lite",0.766827817032354,0.3419415574186862,0.4248862596136678,46.447240010743286,7.151751774035202,6.1471762800863425,0.859534345473787,0.14046565452621296,0.8122840002488176,0.9969046065142962,0.8421949762802367,none,san_lite
PatchTST__ETTh2__h336,PatchTST,ETTh2,336,2021,2022,3,2545,"fredf,none,san_lite",0.7595284872298624,0.33435149625020744,0.425176990979655,45.46629147803332,6.608858169873999,5.847481164080952,0.8847944703574168,0.11520552964258324,0.8236997633835172,0.9970169771683391,0.174878335258808,san_lite,san_lite
PatchTST__ETTh2__h720,PatchTST,ETTh2,720,2021,2022,3,2161,"fredf,none,san_lite",0.7963905599259602,0.33722519074733814,0.45916536917862205,45.14955849691017,6.233594587996281,5.776007036225235,0.9265933089950702,0.0734066910049298,0.9147562370712693,0.9972527918962194,0.5217459413124075,san_lite,san_lite
PatchTST__Exchange__h96,PatchTST,Exchange,96,2021,2022,3,1422,"fredf,none,san_lite",0.8895921237693389,0.3483376556067898,0.5412544681625491,42.839043674540385,11.84840578402683,11.462259227321479,0.9674094081732137,0.03259059182678625,0.9575849098525053,0.9961192269334718,0.7456954012575526,none,none
PatchTST__Exchange__h192,PatchTST,Exchange,192,2021,2022,3,1326,"fredf,none,san_lite",0.8536953242835595,0.34255372876613227,0.5111415955174272,39.22098563204857,7.762540576961899,7.351439473713873,0.9470403923596721,0.05295960764032792,0.9238079891653833,0.9982205153831254,1.3205800260039355,none,none
