key,backbone,dataset,pred_len,n_test_windows,feedback_window,delay_windows,eval_start,n_eval_windows,insufficient,best_fixed_val,best_fixed_test,arm_id_mismatch,mse_none,mse_best_fixed,mse_online,mse_online_nodelay,mse_oracle,mse_best_fixed_test,gain_online_vs_none,gain_online_vs_best_fixed,gain_nodelay_vs_best_fixed,gain_oracle_vs_none,oracle_realized_pct,delay_cost_pp,gain_bestfixed_test_vs_val,gain_online_vs_best_fixed_test,switch_rate,n_distinct_choices,wilcoxon_p_online_vs_best_fixed
PatchTST__ETTm1__h96__s2021,PatchTST,ETTm1,96,11425,200,96,96,11329,False,none,none,False,0.32795065208501384,0.32795065208501384,0.3386023957487822,0.331404954188446,0.3056076009111588,0.32795065208501384,-3.247971484738704,-3.247971484738704,-1.0532993550890055,6.812930857656896,-47.67363051898605,2.1946721296496987,0.0,-3.247971484738704,0.23364815959043164,3,3.856255816480318e-137
PatchTST__ETTm1__h192__s2021,PatchTST,ETTm1,192,11329,200,192,192,11137,False,none,none,False,0.37081162700050074,0.37081162700050074,0.37506239086053705,0.3706820606131699,0.3533869816715016,0.37081162700050074,-1.1463405002721523,-1.1463405002721523,0.03494129576749628,4.699055817073558,-24.395124144753684,1.1812817960396487,0.0,-1.1463405002721523,0.21325312022986442,3,8.669505794281341e-88
PatchTST__ETTm1__h336__s2021,PatchTST,ETTm1,336,11185,200,336,336,10849,False,none,none,False,0.4050482395816282,0.4050482395816282,0.41494636903496773,0.40454140620601264,0.39135966514256026,0.4050482395816282,-2.443691512778525,-2.443691512778525,0.1251291392200179,3.3794923916156274,-72.30942489063435,2.568820651998543,0.0,-2.443691512778525,0.17503917411743017,3,5.598411588803898e-166
PatchTST__ETTm1__h720__s2021,PatchTST,ETTm1,720,10801,200,720,720,10081,False,none,none,False,0.46967512514457355,0.46967512514457355,0.48288796093270914,0.4676560323166949,0.4566198153553022,0.46967512514457355,-2.813186196318218,-2.813186196318218,0.4298913695403491,2.7796468431716286,-101.20660482512369,3.243077565858567,0.0,-2.813186196318218,0.22378732268624144,3,8.84250220958677e-172
PatchTST__ETTm2__h96__s2021,PatchTST,ETTm2,96,11425,200,96,96,11329,False,none,none,False,0.17735662813797318,0.17735662813797318,0.17957888913890585,0.17550780697488053,0.1643532432388208,0.17735662813797318,-1.252990104881422,-1.252990104881422,1.0424313895074453,7.331772731359762,-17.089865584972678,2.2954214943888673,0.0,-1.252990104881422,0.4729455379998235,3,7.018038058481787e-37
PatchTST__ETTm2__h192__s2021,PatchTST,ETTm2,192,11329,200,192,192,11137,False,none,none,False,0.24487727835738965,0.24487727835738965,0.24575002885277175,0.242388878913279,0.22992753708591107,0.24487727835738965,-0.3564032160243098,-0.3564032160243098,1.0161822529196634,6.104993232405546,-5.837896987480139,1.3725854689439732,0.0,-0.3564032160243098,0.4485947741761695,3,9.040774752905463e-11
PatchTST__ETTm2__h336__s2021,PatchTST,ETTm2,336,11185,200,336,336,10849,False,none,none,False,0.3100780744065402,0.3100780744065402,0.31432924601699647,0.3069579621605422,0.29309345660488256,0.3100780744065402,-1.3710003903303596,-1.3710003903303596,1.00623439821069,5.477529436452359,-25.02953943297469,2.37723478854105,0.0,-1.3710003903303596,0.5275140565950779,3,8.59158868973673e-21
PatchTST__ETTm2__h720__s2021,PatchTST,ETTm2,720,10801,200,720,720,10081,False,none,none,False,0.4222567841889555,0.4222567841889555,0.4299157321280891,0.4163060099416404,0.3987570572372863,0.4222567841889555,-1.8138128801947533,-1.8138128801947533,1.4092785409548572,5.565269246472936,-32.59164650959335,3.2230914211496104,0.0,-1.8138128801947533,0.5499454419204444,3,3.559836074899611e-46
PatchTST__Electricity__h96__s2021,PatchTST,Electricity,96,5165,200,96,96,5069,False,none,none,False,0.19280206250836332,0.19280206250836332,0.19280206250836332,0.19280206250836332,0.19245640712156878,0.19280206250836332,0.0,0.0,0.0,0.17927992174759777,0.0,0.0,0.0,0.0,0.0,1,
PatchTST__Electricity__h192__s2021,PatchTST,Electricity,192,5069,200,192,192,4877,False,none,none,False,0.19836134880151762,0.19836134880151762,0.19836134880151762,0.19836134880151762,0.19814456210398934,0.19836134880151762,0.0,0.0,0.0,0.10928877971288035,0.0,0.0,0.0,0.0,0.0,1,
