key,backbone,dataset,pred_len,seed,n_arms,arms,n_val_windows,n_test_windows,mse_none,mse_gate,mse_oracle,best_fixed_val,mse_best_fixed,gain_gate_vs_none,gain_gate_vs_best_fixed,gain_bestfixed_vs_none,gain_oracle_vs_none,oracle_realized_pct,switch_rate,n_distinct_choices,oracle_arm_entropy,gate_acc,majority_acc,mse_fixed_fredf,mse_fixed_none,mse_fixed_revin,mse_fixed_san_lite,wilcoxon_p_gate_vs_best_fixed
PatchTST__ETTm2__h720__s2021,PatchTST,ETTm2,720,2021,3,fredf|none|san_lite,10801,10801,0.4003962972526909,0.4132071850458711,0.3777029023516698,none,0.4003962972526909,-3.1995520141044826,-3.1995520141044826,0.0,5.6677334572458715,-56.45205509572877,0.7739098231645218,3,0.986612131665978,0.3378390889732432,0.4154244977316915,0.416588928535651,0.4003962972526909,,0.4121360278851941,5.976598854278487e-29
PatchTST__Electricity__h96__s2021,PatchTST,Electricity,96,2021,3,fredf|none|san_lite,2537,5165,0.1921811645974956,0.1922025461568491,0.19184193378323391,none,0.1921811645974956,-0.011125730972733592,-0.011125730972733592,0.0,0.17651616118072858,-6.302953149171095,0.0027105517909002904,2,0.1822617178066944,0.9543078412391094,0.9570183930300097,0.25221788117811733,0.1921811645974956,,0.21472420169388567,0.0009815397525216685
PatchTST__Electricity__h192__s2021,PatchTST,Electricity,192,2021,3,fredf|none|san_lite,2441,5069,0.1961862632442941,0.19660851374506644,0.19597684243658303,none,0.1961862632442941,-0.215229391593223,-0.215229391593223,0.0,0.10674590781579797,-201.62776725538652,0.031367133556914575,2,0.24058563728365365,0.8991911619648846,0.925823633852831,0.3161286588785422,0.1961862632442941,,0.21296302833561126,7.429107965305559e-26
PatchTST__Electricity__h336__s2021,PatchTST,Electricity,336,2021,3,fredf|none|san_lite,2297,4925,0.21188246930765017,0.2120262332646375,0.21171302811597204,none,0.21188246930765017,-0.06785080306851261,-0.06785080306851261,0.0,0.07996942466783895,-84.84593074152916,0.007918781725888325,2,0.2123994689690737,0.929746192893401,0.9376649746192893,0.41602563182109503,0.21188246930765017,,0.22853289887687275,5.255295360476943e-08
PatchTST__Electricity__h720__s2021,PatchTST,Electricity,720,2021,3,fredf|none|san_lite,1913,4541,0.2535597536498769,0.2555617265857755,0.2533730151986162,none,0.2535597536498769,-0.7895468058606375,-0.7895468058606375,0.0,0.0736467237295779,-1072.0732188055933,0.17375027526976436,2,0.211821226310991,0.7914556265139837,0.9378991411583352,0.5677135858444411,0.2535597536498769,,0.2699576135321982,2.728966194637362e-120
PatchTST__Exchange__h96__s2021,PatchTST,Exchange,96,2021,3,fredf|none|san_lite,665,1422,0.0852682413585725,0.08950790356904918,0.07548313248252861,san_lite,0.08858746270755236,-4.972146889482814,-1.0390193299982236,-3.8926818426837753,11.47567807195707,-43.32769582587922,0.689873417721519,3,0.9759681856613956,0.33825597749648384,0.4177215189873418,0.10133057325664493,0.0852682413585725,,0.08858746270755236,0.5317466337899595
PatchTST__Exchange__h192__s2021,PatchTST,Exchange,192,2021,3,fredf|none|san_lite,569,1326,0.1803136115983623,0.19072102962221898,0.16526431112295947,san_lite,0.18237520089207238,-5.7718426975889505,-4.576186175136726,-1.1433353674323374,8.34618104640972,-69.15549357377404,0.22473604826546004,3,0.9895014346228082,0.27978883861236803,0.3778280542986425,0.20600486683292626,0.1803136115983623,,0.18237520089207238,5.102733739491057e-11
PatchTST__Exchange__h336__s2021,PatchTST,Exchange,336,2021,3,fredf|none|san_lite,425,1182,0.32501362515660714,0.3465570695635228,0.3078456688829888,san_lite,0.34338404473339645,-6.628474235955088,-0.924045504962417,-5.65219983250888,5.282226634435147,-125.48636577532623,0.6362098138747885,3,0.9240268191651592,0.3197969543147208,0.5321489001692047,0.36818478098249474,0.32501362515660714,,0.34338404473339645,0.08872041200363216
PatchTST__Exchange__h720__s2021,PatchTST,Exchange,720,2021,3,fredf|none|san_lite,41,798,0.8434326423140696,0.8782113701627966,0.7998579394697845,san_lite,0.8787826002764523,-4.123474253173999,0.06500243785838766,-4.191201073905972,5.166352433868394,-79.8140333216069,1.0,2,0.9581259801321557,0.23057644110275688,0.46867167919799496,0.9212289374872557,0.8434326423140696,,0.8787826002764523,0.4209099170051037
PatchTST__ILI__h24__s2021,PatchTST,ILI,24,2021,3,fredf|none|san_lite,74,170,2.8632270951481424,2.8767066063249813,2.5547021606389215,none,2.8632270951481424,-0.47078037224765584,-0.47078037224765584,0.0,10.775426616768243,-4.369018406320194,0.27058823529411763,2,0.938853895113725,0.48823529411764705,0.4588235294117647,2.9102019877118224,2.8632270951481424,,3.244197124681052,0.180779671618161
