key,backbone,dataset,pred_len,gain_full,gain_drop_w_pc,delta_drop_w_pc,gain_drop_w_ns,delta_drop_w_ns,gain_drop_w_fr,delta_drop_w_fr,gain_drop_w_sd,delta_drop_w_sd,gain_drop_w_ch,delta_drop_w_ch
PatchTST__Exchange__h336__s2021,PatchTST,Exchange,336,-1.0613519054493563,-0.7327202670905331,0.32863163835882325,-1.7003890434491213,-0.639037137999765,-1.099748238044288,-0.03839633259493169,-1.183153252256941,-0.1218013468075847,-1.6114702610299554,-0.5501183555805991
PatchTST__Exchange__h720__s2021,PatchTST,Exchange,720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PatchTST__ILI__h24__s2021,PatchTST,ILI,24,0.2217519981968729,-0.10474210029652567,-0.3264940984933986,0.12408290470402929,-0.09766909349284363,0.30925802675630154,0.08750602855942863,0.1305876299518106,-0.0911643682450623,0.25289253556241187,0.031140537365538956
PatchTST__ILI__h36__s2021,PatchTST,ILI,36,-0.5592498923425595,-0.028945579934174664,0.5303043124083848,-0.10299740315233932,0.4562524891902202,-0.5530932439081052,0.006156648434454293,-1.1910768426583773,-0.6318269503158178,-0.6364993899136357,-0.07724949757107624
PatchTST__ILI__h48__s2021,PatchTST,ILI,48,0.0,0.0,0.0,-0.0554514992453062,-0.0554514992453062,0.0,0.0,0.0,0.0,0.0,0.0
PatchTST__ILI__h60__s2021,PatchTST,ILI,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PatchTST__Weather__h96__s2021,PatchTST,Weather,96,-0.004673324798112694,0.32526438753245784,0.32993771233057057,-0.2053246723331357,-0.200651347535023,-0.09632280653444668,-0.09164948173633398,0.023930771749052955,0.02860409654716565,0.01683257249808357,0.021505897296196265
PatchTST__Weather__h192__s2021,PatchTST,Weather,192,-0.6201596898230466,-0.7087374807328828,-0.0885777909098362,-0.6505161632943928,-0.03035647347134618,-0.6353749766164017,-0.015215286793355154,-0.7838600115468891,-0.16370032172384252,-0.5475386527735726,0.07262103704947398
PatchTST__Weather__h336__s2021,PatchTST,Weather,336,-0.3079027563836852,-0.5581799873901226,-0.25027723100643745,-0.22026284894721726,0.08763990743646793,-0.45911755392813564,-0.15121479754445044,-0.5408393672530171,-0.23293661086933187,-0.17497527662065054,0.13292747976303465
PatchTST__Weather__h720__s2021,PatchTST,Weather,720,-0.10473242236287535,0.09650664450981455,0.2012390668726899,-0.0655252041482482,0.03920721821462715,0.09284292077325385,0.19757534313612918,-0.039196664544874055,0.06553575781800129,-0.015328768788013938,0.08940365357486141
iTransformer__ETTh1__h96__s2021,iTransformer,ETTh1,96,-3.63087943245501,-3.871816699199948,-0.24093726674493787,-3.4334600934113726,0.19741933904363762,-3.6781159794852005,-0.04723654703019031,-3.523116826752788,0.10776260570222229,-4.491854044661635,-0.8609746122066251
iTransformer__ETTh1__h192__s2021,iTransformer,ETTh1,192,-1.732286779758977,-1.3625492930934517,0.3697374866655252,-0.08253839371760173,1.6497483860413753,-0.9466283520344231,0.7856584277245539,-0.8199772982395928,0.9123094815193842,-1.5646440814290332,0.16764269832994372
iTransformer__ETTh1__h336__s2021,iTransformer,ETTh1,336,-4.890925209660583,-4.332208724569148,0.558716485091435,-3.8090445291521355,1.0818806805084478,-4.40749649768204,0.48342871197854365,-4.357582042276085,0.5333431673844986,-4.752934246149049,0.13799096351153395
iTransformer__ETTh1__h720__s2021,iTransformer,ETTh1,720,-2.7603943007816145,-2.981675737586113,-0.22128143680449863,-5.844306785865386,-3.083912485083771,-2.1471154194482738,0.6132788813333407,-2.0746486787051985,0.685745622076416,-2.4667222325457514,0.2936720682358631
iTransformer__ETTh2__h96__s2021,iTransformer,ETTh2,96,-1.4413417603262477,-1.4454316269598677,-0.004089866633619987,-2.670918279811076,-1.2295765194848283,-0.9143316712823158,0.5270100890439319,-1.309637404203305,0.13170435612294273,-1.9895121572685364,-0.5481703969422886
iTransformer__ETTh2__h192__s2021,iTransformer,ETTh2,192,-0.6916828357205986,-0.9997894928021276,-0.30810665708152896,-1.0234782381863636,-0.331795402465765,-1.1680162195562072,-0.4763333838356085,-1.4806369078997708,-0.7889540721791721,-0.7578023627657051,-0.06611952704510649
iTransformer__ETTh2__h336__s2021,iTransformer,ETTh2,336,-2.398916675319984,-1.6663044816621604,0.7326121936578238,-2.2253039516512114,0.17361272366877278,-2.0931512761567124,0.30576539916327183,-2.063541179195833,0.3353754961241511,-3.1122787710252933,-0.7133620957053091
iTransformer__ETTh2__h720__s2021,iTransformer,ETTh2,720,10.955367004174118,10.857926156771798,-0.09744084740231962,8.24548628777249,-2.709880716401628,11.03146137551055,0.07609437133643304,11.667288864950432,0.7119218607763145,5.857640909575208,-5.09772609459891
iTransformer__ETTm1__h96__s2021,iTransformer,ETTm1,96,-3.0513990148850345,-2.0875462692056983,0.9638527456793362,-3.57054864748786,-0.5191496326028253,-2.6460572822261152,0.40534173265891926,-2.6345913176834763,0.4168076972015582,-2.80494364502553,0.24645536985950445
iTransformer__ETTm1__h192__s2021,iTransformer,ETTm1,192,-1.6438275887353955,-1.834122802471404,-0.19029521373600855,-2.253381824101325,-0.6095542353659296,-1.6991566042070423,-0.055329015471646814,-2.4329722674716137,-0.7891446787362182,-1.7714446341344698,-0.12761704539907437
iTransformer__ETTm1__h336__s2021,iTransformer,ETTm1,336,-2.395561703015056,-2.171058041970421,0.22450366104463537,-1.774578772219323,0.6209829307957333,-2.369193644167978,0.026368058847078046,-1.8952971521861481,0.5002645508289081,-2.330091076029892,0.06547062698516415
iTransformer__ETTm1__h720__s2021,iTransformer,ETTm1,720,4.584144727076139,4.654761103548975,0.07061637647283625,3.7561758442642708,-0.8279688828118683,4.247468720840371,-0.3366760062357681,4.648105935433049,0.06396120835691033,3.2534606335369207,-1.3306840935392183
iTransformer__ETTm2__h96__s2021,iTransformer,ETTm2,96,-2.1276354400740494,-1.6343906292791965,0.49324481079485283,-0.9206013826208823,1.207034057453167,-2.239746324482698,-0.11211088440864847,-2.153267623631703,-0.025632183557653843,-2.5236435480929433,-0.39600810801889397
