key,backbone,dataset,pred_len,seed,n_arms,arms,n_val_windows,n_test_windows,mse_none,mse_gate,mse_oracle,best_fixed_val,mse_best_fixed,gain_gate_vs_none,gain_gate_vs_best_fixed,gain_bestfixed_vs_none,gain_oracle_vs_none,oracle_realized_pct,switch_rate,n_distinct_choices,oracle_arm_entropy,gate_acc,majority_acc,mse_fixed_fredf,mse_fixed_none,mse_fixed_revin,mse_fixed_san_lite,wilcoxon_p_gate_vs_best_fixed
DLinear__ETTm2__h96__s2021,DLinear,ETTm2,96,2021,4,fredf|none|revin|san_lite,11425,11425,0.19666471831810292,0.18083561716083624,0.15754895589194165,fredf,0.18289741113162405,8.048775241720177,1.1272953280310527,7.000395039917837,19.88956776817135,40.4673210364813,0.6516411378555799,4,0.9754827241784214,0.2675711159737418,0.3360175054704595,0.18289741113162405,0.19666471831810292,0.18152044096981995,0.1896994988568111,2.4517452718413256e-67
DLinear__ETTm2__h192__s2021,DLinear,ETTm2,192,2021,4,fredf|none|revin|san_lite,11329,11329,0.27808490116699974,0.2343311737555317,0.21194748416650205,revin,0.24586729868317214,15.733945722222101,4.692012719617149,11.585527422923242,23.783174391241765,66.15578502329058,0.8482655132844912,4,0.9521292924197632,0.38441168682143173,0.35996116162061964,0.25188067424126603,0.27808490116699974,0.24586729868317214,0.2517604685095602,0.7022301922574645
DLinear__ETTm2__h336__s2021,DLinear,ETTm2,336,2021,4,fredf|none|revin|san_lite,11185,11185,0.36900016046764067,0.2971598041573166,0.261187234084935,revin,0.30647326179071893,19.46892278287489,3.038913600146899,16.94495162211063,29.217582519687852,66.63426985985392,0.9654000894054537,4,0.937110776647658,0.30049172999552975,0.3631649530621368,0.32091120919666494,0.36900016046764067,0.30647326179071893,0.31136420470532106,0.42448102085149375
DLinear__ETTm2__h720__s2021,DLinear,ETTm2,720,2021,4,fredf|none|revin|san_lite,10801,10801,0.5414378134111775,0.4065789366678147,0.3432634106191642,san_lite,0.4102858028789961,24.907546795350896,0.9034839093044604,24.222913007433416,36.601507667723624,68.05060332853304,0.9947227108601056,4,0.913730606157269,0.3490417553930192,0.3787612258124248,0.4499329319866142,0.5414378134111775,0.4068149283849777,0.4102858028789961,2.26144386190611e-05
DLinear__Electricity__h96__s2021,DLinear,Electricity,96,2021,4,fredf|none|revin|san_lite,2537,5165,0.19984779237316053,0.19729515992516122,0.19554116277588532,fredf,0.19703281392980754,1.2772882890896262,-0.13314837773459104,1.4085611904497344,2.1549548014081723,59.27216143737146,0.9618586640851887,4,0.7410566884596559,0.5992255566311714,0.6193610842207163,0.19703281392980754,0.19984779237316053,0.20250872214183227,0.22430802955141602,1.6847386392996541e-25
DLinear__Electricity__h192__s2021,DLinear,Electricity,192,2021,4,fredf|none|revin|san_lite,2441,5069,0.1994737308787674,0.19614253295440368,0.1956121014652696,fredf,0.1961283894536128,1.6699932916839102,-0.00721134805124592,1.6770836993924823,1.9359087517270082,86.2640498815693,1.0,2,0.4665662016083543,0.820082856579207,0.822450187413691,0.1961283894536128,0.1994737308787674,0.2026185889416579,0.21917813164721253,0.0006549583433856954
DLinear__Electricity__h336__s2021,DLinear,Electricity,336,2021,4,fredf|none|revin|san_lite,2297,4925,0.21252407488030226,0.21006987454019826,0.20913195049702213,fredf,0.20981458371060754,1.154786977181148,-0.12167449234206754,1.2749102289742942,1.5961129981037097,72.34995130123504,0.9920812182741117,4,0.5891414411264743,0.7084263959390863,0.7331979695431472,0.20981458371060754,0.21252407488030226,0.21732731875731862,0.23442959895896429,4.251171167617365e-25
DLinear__Electricity__h720__s2021,DLinear,Electricity,720,2021,4,fredf|none|revin|san_lite,1913,4541,0.24783826184427651,0.24976694633114893,0.24469787743458582,fredf,0.246230234418034,-0.7782028781643409,-1.4363434780702744,0.6488212975147495,1.2671104075331239,-61.41555410562695,0.9894296410482273,4,0.7477042348962364,0.4952653600528518,0.5426117595243338,0.246230234418034,0.24783826184427651,0.2587717584880064,0.27495593152180614,1.407392264151106e-106
DLinear__Exchange__h96__s2021,DLinear,Exchange,96,2021,4,fredf|none|revin|san_lite,665,1422,0.09472576809101299,0.09411158598435496,0.07268455533543929,revin,0.08867660944209907,0.6483791253731945,-6.128985508566762,6.385969489355842,23.268444478764966,2.7865168466052626,1.0,2,0.8715397019569975,0.3059071729957806,0.39451476793248946,0.10164011660675124,0.09472576809101299,0.08867660944209907,0.10398419294506311,4.158928655337752e-31
DLinear__Exchange__h192__s2021,DLinear,Exchange,192,2021,4,fredf|none|revin|san_lite,569,1326,0.18168729712251086,0.18740812754525407,0.13587407143238714,revin,0.17953717659422805,-3.148723390856652,-4.384022908398141,1.1834181928641725,25.215425852793622,-12.487290157897828,1.0,2,0.9154173475258576,0.3046757164404223,0.39064856711915535,0.18392373163528392,0.18168729712251086,0.17953717659422805,0.19827621018578653,2.3304321391569394e-33
