metric,label,semantics,held_out,n_datasets_remaining,n_groups_remaining,mean_pct,median_pct,delta_mean_vs_full_pp,delta_median_vs_full_pp,sign_flips_mean,sign_flips_median,n_datasets_mean_positive
c2_gate_vs_none,static complexity-feature gate vs none (%),conclusion-level jackknife of the aggregate,ETTh2,7,84,0.3631456998778947,-0.1080183440728073,-1.1351660030312836,-0.027693850083298666,False,False,4
c2_gate_vs_none,static complexity-feature gate vs none (%),conclusion-level jackknife of the aggregate,ETTm1,7,84,1.777662245087725,-0.028429547401128998,0.2793505421785467,0.05189494658837964,False,False,5
c2_gate_vs_none,static complexity-feature gate vs none (%),conclusion-level jackknife of the aggregate,ETTm2,7,84,0.9628456651722672,-0.08032449398950864,-0.5354660377369111,0.0,False,False,4
c2_gate_vs_none,static complexity-feature gate vs none (%),conclusion-level jackknife of the aggregate,Electricity,7,84,1.7403825918100897,-0.03418232951683215,0.24207088890091133,0.04614216447267649,False,False,5
c2_gate_vs_none,static complexity-feature gate vs none (%),conclusion-level jackknife of the aggregate,Exchange,7,84,2.1360578502061682,-0.000989297799368,0.6377461472969899,0.07933519619014064,False,False,5
c2_gate_vs_none,static complexity-feature gate vs none (%),conclusion-level jackknife of the aggregate,ILI,7,84,1.6825495860983206,-0.1080183440728073,0.18423788318914225,-0.027693850083298666,False,False,4
c2_gate_vs_none,static complexity-feature gate vs none (%),conclusion-level jackknife of the aggregate,Weather,7,84,1.681196553009374,-0.16220196558946384,0.18288485010019562,-0.0818774715999552,False,False,4
c_lodo_gate_transfer_existing,"gate trained on other datasets, evaluated on the held-out one (%)",training-level LODO (cross-dataset transfer of the gate),ETTh1,6,8,-0.008331805145052718,0.21159972817474026,1.5507033652845263,,False,False,0
c_lodo_gate_transfer_existing,"gate trained on other datasets, evaluated on the held-out one (%)",training-level LODO (cross-dataset transfer of the gate),ETTh2,6,12,-4.353206662294401,-1.1454789073884206,-2.7941714918648217,,False,False,0
c_lodo_gate_transfer_existing,"gate trained on other datasets, evaluated on the held-out one (%)",training-level LODO (cross-dataset transfer of the gate),ETTm1,6,12,-1.4208490093479282,-0.9297218596964978,0.13818616108165083,,False,False,0
c_lodo_gate_transfer_existing,"gate trained on other datasets, evaluated on the held-out one (%)",training-level LODO (cross-dataset transfer of the gate),ETTm2,6,12,-2.830618540653425,-1.853826460663091,-1.271583370223846,,False,False,0
c_lodo_gate_transfer_existing,"gate trained on other datasets, evaluated on the held-out one (%)",training-level LODO (cross-dataset transfer of the gate),Electricity,6,12,-1.6874033259607806,-1.6946071206305182,-0.1283681555312015,,False,False,0
c_lodo_gate_transfer_existing,"gate trained on other datasets, evaluated on the held-out one (%)",training-level LODO (cross-dataset transfer of the gate),Exchange,6,12,0.7467940605234756,-0.8548687852595787,2.3058292309530546,,True,False,1
c_lodo_gate_transfer_existing,"gate trained on other datasets, evaluated on the held-out one (%)",training-level LODO (cross-dataset transfer of the gate),Weather,6,8,-0.4845770973363622,-0.5716802950816339,1.074458073093217,,False,False,0
c_lodo_gate_transfer_existing,"gate trained on other datasets, evaluated on the held-out one (%)",training-level LODO (cross-dataset transfer of the gate),ALL,6,76,-1.559035170429579,-0.9328293402415577,0.0,,False,False,0
