backbone,dataset,pred_len,mse_none,plain_best_alpha_by_val,plain_gain_at_best_alpha,plain_gain_oracle_alpha,plain_gain_worst_alpha,plain_n_alphas,plain_gain_at_alpha05,sqrth_best_alpha_by_val,sqrth_gain_at_best_alpha,sqrth_gain_oracle_alpha,sqrth_gain_worst_alpha,sqrth_n_alphas,sqrth_gain_at_alpha05
iTransformer,ETTh2,720,0.4349385179977062,0.1,3.098273100704589,3.919977683421393,2.902326015234369,5,3.919977683421393,0.5,2.326020635533309,3.1361956085514464,0.3021350715737628,3,2.326020635533309
iTransformer,ETTm1,96,0.34472380046063417,0.9,3.5425550300097277,4.210520610131211,1.7541396086725687,5,3.5089805568326233,0.9,5.33284724389847,5.33284724389847,0.8191572360765504,3,2.212455705240553
iTransformer,ETTm1,192,0.385954884515641,0.1,1.33828733852009,2.697040407259426,1.33828733852009,5,2.0336739296321737,0.5,1.3365512918627427,2.5908145818055686,0.691849908303401,3,1.3365512918627427
iTransformer,ETTm1,336,0.4192531077301387,0.5,1.8126478912481518,2.052052467380684,-5.8049145974530845,5,1.8126478912481518,0.9,1.069863393479417,1.069863393479417,-2.204998311331937,3,-2.204998311331937
iTransformer,ETTm1,720,0.5176899027097404,0.1,6.058071463891597,8.013000960601573,6.058071463891597,5,7.746364146772385,0.5,3.5401149296032335,7.797923531028527,0.17851797146316584,3,3.5401149296032335
iTransformer,ETTm2,96,0.1803348147284056,0.9,1.7224926760899695,1.7224926760899695,-2.339558354135399,5,-0.25439747658954565,0.9,1.3201160906593905,1.3201160906593905,0.04544563627280152,3,0.05321970768192311
iTransformer,ETTm2,192,0.25895606125614534,0.9,6.220122808460424,6.220122808460424,3.2001876887704896,5,5.480163296912388,0.9,4.982174373306145,4.982174373306145,-0.2263255672193149,3,3.4522579799795223
iTransformer,ETTm2,336,0.3241397930111146,0.7,5.538878978124909,6.552910901661646,4.317370795069379,5,6.552910901661646,0.9,5.2242832270003525,5.2242832270003525,2.404827893521833,3,3.1572393284737883
iTransformer,ETTm2,720,0.4112600922422835,0.9,2.2791174470257576,2.2791174470257576,-0.0885506185917103,5,0.5866886658962681,0.9,0.6011819881250275,0.6011819881250275,-1.1181095896420967,3,-1.1181095896420967
iTransformer,Electricity,96,0.1579647374096407,0.1,-0.4964100465804541,-0.4964100465804541,-4.437667337622394,5,-3.035771085840214,0.1,-0.004712268189384047,-0.004712268189384047,-3.298681386601589,3,-0.725470438434611
iTransformer,Electricity,192,0.17063052636497225,0.1,-0.5696266343641114,-0.5696266343641114,-3.538509759807846,5,-2.681016331602985,0.1,0.13667711544745895,0.13667711544745895,-2.5958493525664497,3,-0.4826595472030426
iTransformer,Electricity,336,0.18743784567675587,0.1,-0.926042595970941,-0.926042595970941,-5.090187975728268,5,-3.8443655491610396,0.1,-0.08695674740085185,-0.08695674740085185,-3.382590681636115,3,-0.7592299244705876
iTransformer,Electricity,720,0.2244885089499166,0.1,-1.6846818931086838,-1.6846818931086838,-7.5595982475512375,5,-6.6704965280255,0.1,0.01988957530073235,0.01988957530073235,-5.727892991359446,3,-0.8564891677851804
iTransformer,Exchange,96,0.10681309277498266,0.9,15.843532705445908,17.45937360859383,9.244065841742463,5,17.45937360859383,0.9,15.642247393056612,15.642247393056612,6.611835662618194,3,9.56250318387012
iTransformer,Exchange,192,0.1885852309074037,0.7,-0.9427516950232686,4.132933260895099,-0.9427516950232686,5,-0.8704584239435013,0.1,0.9127288143834358,3.9945904151517864,0.8813948401267573,3,3.9945904151517864
iTransformer,Exchange,336,0.3399042727801045,0.5,-0.6945210427663044,1.8688618407419748,-3.086264827590287,5,-0.6945210427663044,0.1,0.19717451342976755,0.9964729273942342,0.0684837564037909,3,0.0684837564037909
iTransformer,Exchange,720,0.8616552248269328,0.1,4.137315956340052,4.137315956340052,-2.409435394371754,5,-2.409435394371754,0.5,-0.2993995303746935,1.619913251008994,-1.0856132891913186,3,-0.2993995303746935
iTransformer,ILI,24,2.2889588000727636,0.1,-0.1141845903318857,-0.1141845903318857,-10.802172291732647,5,-3.6955256254322992,0.1,0.16745377741136563,0.16745377741136563,-6.938049354947322,3,-0.7218772746153316
iTransformer,ILI,36,2.192606326013726,0.1,-1.0867820051925492,-1.0867820051925492,-13.23283998519261,5,-12.950960586808128,0.1,-0.23727227359182076,-0.23727227359182076,-13.040612215980541,3,-2.109879417132518
iTransformer,ILI,48,2.2797692604338664,0.9,-4.382565492122418,-0.007515252725617262,-5.898692742898148,5,-1.2948427234166946,0.1,0.16890217237957558,0.16890217237957558,-3.3265849452098077,3,-0.2676478691464175
iTransformer,ILI,60,2.319834404289934,0.9,-2.4719663922601156,-1.985553144165097,-5.650598700117022,5,-4.460334926559436,0.1,-0.3289167037732512,-0.3289167037732512,-3.0743963028272834,3,-2.512108888998213
iTransformer,Weather,96,0.17434289810766823,0.7,1.657958201680533,1.657958201680533,0.09988003522132667,5,0.49554257226732124,0.5,0.9117523342309914,1.4187479874083548,0.37488629277632496,3,0.9117523342309914
iTransformer,Weather,192,0.2247137026085479,0.3,1.0696476506945625,1.2261711795511911,-0.2394476364920338,5,1.2261711795511911,0.1,0.3976962077279165,0.7310050413469623,0.2644802051421485,3,0.7310050413469623
iTransformer,Weather,336,0.28181174030663947,0.3,0.6336074189668881,0.6796901734507175,-0.5691178443199748,5,-0.08581743588481729,0.5,0.5279932292020759,0.6896896441361912,0.012236157471026243,3,0.5279932292020759
